Date,Close
12/6/16,93.39
12/7/16,95.07
12/8/16,93.48
12/9/16,91.82
12/12/16,89.59
12/13/16,91.17
12/14/16,96.45
12/15/16,98.71
12/16/16,100.41
12/19/16,101.63
12/20/16,105.17
12/21/16,105.83
12/22/16,107.11
12/23/16,109.78
12/27/16,117.32
12/28/16,109.25
12/29/16,111.43
12/30/16,106.74
1/3/17,102.01
1/4/17,104.39
1/5/17,101.74
1/6/17,103.1
1/9/17,107.28
1/10/17,106.47
1/11/17,105.16
1/12/17,103.44
1/13/17,103.43
1/17/17,101.11
1/18/17,102.95
1/19/17,105.16
1/20/17,104.01
1/23/17,105.09
1/24/17,107.33
1/25/17,107.79
1/26/17,109.65
1/27/17,111.77
1/30/17,110.02
1/31/17,109.18
2/1/17,113.95
2/2/17,115.39
2/3/17,114.38
2/6/17,117.31
2/7/17,119.13
2/8/17,118.61
2/9/17,116.38
2/10/17,113.62
2/13/17,108.38
2/14/17,108.78
2/15/17,109
2/16/17,107.25
2/17/17,107.23
2/21/17,111.07
2/22/17,110.76
2/23/17,100.49
2/24/17,101.46
2/27/17,104.41
2/28/17,101.48
3/1/17,102.79
3/2/17,99
3/3/17,98.43
3/6/17,97.67
3/7/17,98.74
3/8/17,98.56
3/9/17,98.54
3/10/17,99.12
3/13/17,101.85
3/14/17,101.78
3/15/17,102.55
3/16/17,103.81
3/17/17,106.07
3/20/17,109.45
3/21/17,105.91
3/22/17,108.07
3/23/17,107.09
3/24/17,107.47
3/27/17,108.25
3/28/17,107.69
3/29/17,107.34
3/30/17,109.4
3/31/17,108.93
4/3/17,108.38
4/4/17,100.78
4/5/17,100.03
4/6/17,100.76
4/7/17,100.33
4/10/17,97.77
4/11/17,98.12
4/12/17,97.31
4/13/17,95.49
4/17/17,99.23
4/18/17,99.29
4/19/17,99.68
4/20/17,101.26
4/21/17,101.68
4/24/17,102.95
4/25/17,104.74
4/26/17,104.02
4/27/17,105.64
4/28/17,104.3
5/1/17,106.64
5/2/17,103.48
5/3/17,104.25
5/4/17,103.85
5/5/17,103.86
5/8/17,102.77
5/9/17,102.94
5/10/17,121.29
5/11/17,126.5
5/12/17,127.89
5/15/17,134.31
5/16/17,136.81
5/17/17,127.72
5/18/17,133.07
5/19/17,136
5/22/17,138.9
5/23/17,137.03
5/24/17,138.57
5/25/17,138.26
5/26/17,141.84
5/30/17,144.87
5/31/17,144.35
6/1/17,144.36
6/2/17,143.64
6/5/17,148.01
6/6/17,147.34
6/7/17,149.12
6/8/17,159.94
6/9/17,149.6
6/12/17,149.97
6/13/17,151.4
6/14/17,151.72
6/15/17,152.37
6/16/17,151.62
6/19/17,157.32
6/20/17,157.09
6/21/17,159.47
6/22/17,158.37
6/23/17,153.83
6/26/17,152.15
6/27/17,146.58
6/28/17,151.75
6/29/17,146.68
6/30/17,144.56
7/3/17,139.33
7/5/17,143.05
7/6/17,143.48
7/7/17,146.76
7/10/17,153.7
7/11/17,155.88
7/12/17,162.51
7/13/17,160.63
7/14/17,164.95
7/17/17,164.25
7/18/17,165.96
7/19/17,165.1
7/20/17,167.5
7/21/17,168.1
7/24/17,166.15
7/25/17,165.35
7/26/17,167.26
7/27/17,161.74
7/28/17,164.39
7/31/17,162.51
8/1/17,164.49
8/2/17,164.39
8/3/17,166.48
8/4/17,167.21
8/7/17,172.35
8/8/17,170.3
8/9/17,172.11
8/10/17,164.74
8/11/17,155.96
8/14/17,168.4
8/15/17,166.98
8/16/17,165.15
8/17/17,161.47
8/18/17,161.5
8/21/17,159.15
8/22/17,162.55
8/23/17,165.8
8/24/17,165.19
8/25/17,163.81
8/28/17,164.97
8/29/17,164.7
8/30/17,165.68
8/31/17,169.44
9/1/17,170.46
9/5/17,165.91
9/6/17,165.81
9/7/17,166.58
9/8/17,163.69
9/11/17,169
9/12/17,169.61
9/13/17,170.37
9/14/17,169.4
9/15/17,180.11
9/18/17,187.55
9/19/17,187.35
9/20/17,185.84
9/21/17,180.76
9/22/17,179
9/25/17,171
9/26/17,171.96
9/27/17,175.73
9/28/17,175.68
9/29/17,178.77
10/2/17,179
10/3/17,179.37
10/4/17,180.87
10/5/17,180.77
10/6/17,181.3
10/9/17,185.39
10/10/17,188.93
10/11/17,190.94
10/12/17,191.03
10/13/17,194.59
10/16/17,197.93
10/17/17,197.75
10/18/17,197.58
10/19/17,197.8
10/20/17,196.9
10/23/17,196.62
10/24/17,198.68
10/25/17,193.66
10/26/17,195.69
10/27/17,201.86
10/30/17,203.84
10/31/17,206.81
11/1/17,207.2
11/2/17,205.94
11/3/17,208.69
11/6/17,209.63
11/7/17,212.03
11/8/17,209.16
11/9/17,205.32
11/10/17,216.14
11/13/17,212.63
11/14/17,214.18
11/15/17,209.98
11/16/17,211.61
11/17/17,211.36
11/20/17,214.08
11/21/17,216.05
11/22/17,214.93
11/24/17,216.96
11/27/17,214.14
11/28/17,210.71
11/29/17,196.42
11/30/17,200.71
12/1/17,197.68
12/4/17,186.66
12/5/17,187.74
12/6/17,189.26
12/7/17,191.99
12/8/17,191.49
12/11/17,194.66
12/12/17,190.84
12/13/17,186.18
12/14/17,186.47
12/15/17,191.56
12/18/17,197.9
12/19/17,196.11
12/20/17,196.8
12/21/17,195.89
12/22/17,195.27
12/26/17,197.44
12/27/17,197.17
12/28/17,197.4
12/29/17,193.5
1/2/18,199.35
1/3/18,212.47
1/4/18,213.59
1/5/18,215.4
1/8/18,222
1/9/18,221.94
1/10/18,223.68
1/11/18,224.08
1/12/18,222.98
1/16/18,220.11
1/17/18,224.72
1/18/18,224.44
1/19/18,230.11
1/22/18,233.69
1/23/18,238.91
1/24/18,235.8
1/25/18,236.35
1/26/18,243.33
1/29/18,246.85
1/30/18,242.72
1/31/18,245.8
2/1/18,240.5
2/2/18,233.52
2/5/18,213.7
2/6/18,225.58
2/7/18,228.8
2/8/18,217.52
2/9/18,232.08
2/12/18,228.03
2/13/18,232.63
2/14/18,241.42
2/15/18,246.5
2/16/18,243.84
2/20/18,249.08
2/21/18,241.51
2/22/18,242.15
2/23/18,245.93
2/26/18,246.58
2/27/18,246.06
2/28/18,242
3/1/18,232.21
3/2/18,236.54
3/5/18,235.65
3/6/18,242.16
3/7/18,241.84
3/8/18,241.18
3/9/18,245.33
3/12/18,249.76
3/13/18,247.71
3/14/18,248.74
3/15/18,249.34
3/16/18,250.48
3/19/18,241
3/20/18,249.58
3/21/18,248.56
3/22/18,241.85
3/23/18,232.97
3/26/18,244.48
3/27/18,225.52
3/28/18,221.35
3/29/18,231.59
4/2/18,221.05
4/3/18,225.35
4/4/18,226.24
4/5/18,221.38
4/6/18,214.25
4/9/18,215.41
4/10/18,227.91
4/11/18,226.24
4/12/18,234.6
4/13/18,231.5
4/16/18,231.49
4/17/18,237.54
4/18/18,236.37
4/19/18,229.04
4/20/18,228.71
4/23/18,223.88
4/24/18,221.2
4/25/18,216.66
4/26/18,225.22
4/27/18,226.33
4/30/18,224.9
5/1/18,227.14
5/2/18,226.31
5/3/18,232.99
5/4/18,239.06
5/7/18,248.68
5/8/18,250.4
5/9/18,255.78
5/10/18,260.13
5/11/18,254.53
5/14/18,255.36
5/15/18,245.56
5/16/18,246.01
5/17/18,247.71
5/18/18,245.94
5/21/18,244.24
5/22/18,242.7
5/23/18,247.54
5/24/18,247.69
5/25/18,249.28
5/29/18,248.59
5/30/18,252.99
5/31/18,252.19
6/1/18,257.62
6/4/18,264.85
6/5/18,265.07
6/6/18,265.15
6/7/18,262.9
6/8/18,262.28
6/11/18,260.62
6/12/18,262.58
6/13/18,262.4
6/14/18,266.91
6/15/18,265.26
6/18/18,265.09
6/19/18,260.17
6/20/18,262.31
6/21/18,257.11
6/22/18,250.95
6/25/18,239.12
6/26/18,241.99
6/27/18,235.72
6/28/18,240.86
6/29/18,236.9
7/2/18,242.24
7/3/18,236.84
7/5/18,242.73
7/6/18,247.33
7/9/18,249.25
7/10/18,253.25
7/11/18,247.53
7/12/18,251.23
7/13/18,249.32
7/16/18,248.2
7/17/18,253.69
7/18/18,251.7
7/19/18,252.03
7/20/18,250.89
7/23/18,249.41
7/24/18,248.71
7/25/18,251.87
7/26/18,254.84
7/27/18,252.02
7/30/18,244.13
7/31/18,244.86
8/1/18,246.47
8/2/18,250.62
8/3/18,252.1
8/6/18,254.03
8/7/18,256.95
8/8/18,258.42
8/9/18,256.46
8/10/18,254.79
8/13/18,256.12
8/14/18,261.43
8/15/18,259.08
8/16/18,257.44
8/17/18,244.82
8/20/18,247.84
8/21/18,253.32
8/22/18,262.82
8/23/18,266.84
8/24/18,272.22
8/27/18,275.9
